EPS,forecasted_eps,noOfEsts,after_total_returns,before_total_returns
-0.28,-0.11,3,0.13521216,-0.063692803
0.65,0.59,6,-0.009106431,0.055216223
0.21,0.17,3,0.001712329,0.017241379
0.23,0.26,4,0.037833156,-0.134159694
-0.28,-0.21,3,-0.05907173,0.011854951
0.18,0.17,3,0.008312009,-0.024951935
0.95,0.95,8,-0.031881897,0.008072173
0.54,0.78,3,0.070190641,-0.01465798
0.52,0.55,3,0.010929432,-0.001094985
0.12,0.12,4,-0.003809473,0.017340921
0.29,0.29,2,0.06239318,0.011598256
0.47,0.32,1,0.068143639,0.108659649
0.44,0.36,2,-0.008358106,0.000379944
0.14,0.15,1,-0.134944612,0.10989011
0.38,0.37,2,-0.051060487,-0.001145023
0.21,0.22,11,0.056428554,0.019970451
0.99,0.98,12,0.044766837,0.013854416
4.25,4.29,9,0.003046906,0.022667882
1.68,1.69,12,0.047884985,0.013125223
0.42,0.5,9,-0.02662277,-0.01081387
0.88,0.8,9,-0.003691117,0.012905158
1.32,1.29,7,-0.097684198,-0.013147079
0.17,0.26,4,0.036605692,-0.015574926
0.74,0.7,5,0.036269428,0.034724098
0.57,0.55,3,0.04376013,0.024121879
0.45,0.65,2,0.027139904,-0.037258231
9.87,10.4,11,0.025538957,0.005239397
9.87,10.4,11,0.024586866,0.004449784
0.8,0.71,3,-0.009860625,0.051866078
1.07,1.02,7,-0.003149377,-0.028468205
1.55,1.37,3,-0.006533659,0.039086056
1.5,1.39,4,-0.044323387,0.013761467
1.15,1.21,9,-0.033919473,0.011341226
0.14,0.14,9,0.001863586,0.028399782
0.32,0.31,11,-0.027438215,0.055246375
2.73,2.36,5,0.016269275,0.049938704
1.6,1.76,8,-0.125437284,-0.002229927
2.16,2.02,6,-0.09432996,0.02337818
0.69,0.65,7,-0.012732608,-0.055586128
0.24,0.28,4,-0.069611823,-0.005319128
-0.23,-0.1,4,-0.053231981,-0.02268438
0.07,0.07,3,-0.075342395,-0.082654178
1.13,1.07,9,-0.017106996,0.037112834
-0.45,-0.17,1,0.036124728,-0.020408131
1.29,0.99,9,-0.088925744,0.050021449
3.05,2.85,5,0.047781168,-0.015985733
0.44,0.1,11,0.189104698,0.193750668
1.5,1.35,8,-0.058001398,0.042612064
1.9,1.68,4,0.037107858,0.058070899
0.86,1.02,9,0.008765301,0.066566265
1.87,1.85,6,-0.035665412,0.044834682
